100, 1, 200, 400
101, 1, 200, 400
102, 2, 201, 401
103, 2, 202, 402
104, 3, 202, 402
105, 4, 202, 402
106, 5, 201, 401
107, 5, 201, 401
108, 6, 203, 404
109, 7, 202, 402
110, 8, 201, 401
111, 9, 203, 404
112, 10, 200, 400
113, 11, 200, 400
114, 12, 203, 404
115, 13, 203, 404
116, 14, 204, 415
117, 14, 204, 415
118, 15, 205, 413
119, 15, 205, 413
120, 16, 206, 412
121, 16, 206, 412
122, 17, 206, 412
123, 18, 204, 415
124, 19, 207, 410
125, 20, 207, 410
126, 21, 207, 410
127, 22, 208, 413
128, 23, 209, 415
129, 23, 209, 415
130, 24, 209, 415
131, 25, 210, 406
132, 26, 211, 416
133, 27, 212, 408
134, 27, 212, 408
135, 27, 212, 408
136, 27, 212, 408
137, 28, 213, 405
138, 28, 213, 405
139, 29, 214, 403
140, 29, 213, 405
141, 30, 214, 403
142, 30, 214, 403
143, 31, 215, 414
144, 32, 214, 403
145, 33, 215, 414
146, 34, 216, 407
147, 34, 216, 407
148, 34, 216, 407
149, 35, 216, 407
150, 36, 215, 414
151, 37, 217, 406
152, 38, 219, 414
153, 39, 220, 416
154, 40, 220, 416
155, 41, 220, 416
156, 42, 220, 416
157, 43, 213, 405
158, 44, 221, 403
159, 45, 221, 403
160, 46, 224, 409
161, 47, 224, 409
162, 48, 222, 411
163, 49, 222, 411
164, 50, 222, 411
165, 51, 222, 411
166, 52, 223, 409
167, 53, 223, 409
168, 53, 223, 409
169, 54, 223, 409
